rating,review_text,source
3,Mock review for MacBook Pro with rating 3,Mock Generator
2,Mock review for MacBook Pro with rating 2,Mock Generator
1,Mock review for MacBook Pro with rating 1,Mock Generator
5,Mock review for MacBook Pro with rating 5,Mock Generator
5,Mock review for MacBook Pro with rating 5,Mock Generator
2,Mock review for MacBook Pro with rating 2,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
1,Mock review for MacBook Pro with rating 1,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
5,Mock review for MacBook Pro with rating 5,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
2,Mock review for MacBook Pro with rating 2,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
1,Mock review for MacBook Pro with rating 1,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
2,Mock review for MacBook Pro with rating 2,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
2,Mock review for MacBook Pro with rating 2,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
5,Mock review for MacBook Pro with rating 5,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
5,Mock review for MacBook Pro with rating 5,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
2,Mock review for MacBook Pro with rating 2,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
1,Mock review for MacBook Pro with rating 1,Mock Generator
2,Mock review for MacBook Pro with rating 2,Mock Generator
3,Mock review for MacBook Pro with rating 3,Mock Generator
2,Mock review for MacBook Pro with rating 2,Mock Generator
4,Mock review for MacBook Pro with rating 4,Mock Generator
