title,price,source,rating,reviews,link,image
Asus ROG Zephyrus G14 Gaming Laptop,"$1,498.00",Amazon.com - Seller,4.5,1400.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db4ef9b61c8a97c52b26c3c1ab4182894cf.webp
"Acer Aspire 3 15.6"" FHD Laptop AMD Ryzen",$372.00,Amazon.com - Seller,4.5,1200.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db4b966c6567b0f7f417483d21e77e4f9bb.webp
"ASUS Vivobook S 14 14""","$1,299.99",ASUS Store US,4.6,583.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db44282b65f188d1ddf30181c36e97b4a82.webp
"HP 14"" Chromebook Laptop",$159.00,Best Buy,4.5,2500.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db4f7717cc731e1761b5ae837830e5bdce9.webp
16.0-inch Gaming Laptop,$329.99,Amazon.com - Seller,,,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db43a774dee0cabad1a01700f06dc84fb15.webp
Dell Inspiron 15 3520 FHD Laptop Intel,$269.99,Dell,4.3,19000.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db431533f0d58f562f4af0c2b3ddda6ac9e.webp
Asus Vivobook Pro 16 inch Wuxga Windows Laptop Intel Core i9-13900H Nvidia GeForce RTX 4050 16gb RAM 1TB Ssd Cool,$958.30,Walmart - Seller,4.5,35.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db4d803922558aafe148b6b407e9461aca3.webp
"Lenovo Yoga Pro 7 14.5"" AMD Ryzen 7 8845hs Laptop",$799.99,Lenovo,4.6,127.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db46001e19e8d72bb9b64c9735ef5e5bfe8.webp
"HP 14"" Intel Celeron Laptop",$199.99,Best Buy,3.7,23.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db498f04dc6d0a1f0c6bd99b765350be104.webp
KAIGERR 2024 Gaming Laptop,$349.99,Amazon.com - Seller,,,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db4b3994b7a4cdef0b93af7ec768ad40230.webp
Microsoft Surface Laptop Copilot+ PC,"$1,799.99",Microsoft Store,4.3,103.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db49bd0f79eeac85fdfb0c5d3288d9b0e16.webp
HP 15.6 inch HD Windows Laptop,$219.00,Walmart,,,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db4799b4d218abc7b914281d279b189b45c.webp
Lenovo V15 G4 IRU,$549.99,Staples,4.6,849.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db408b6a643f083086adf99ef0fab128e0f.webp
Lenovo IdeaPad 3i 15.6 inch FHD Laptop Intel Core,$249.00,Best Buy,4.5,5600.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db4decc4fc5c37fa7d10737fb3edb8cb26d.webp
"HP Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop",$400.98,Amazon.com - Seller,,,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db4ab5ae67320664b815d38a9c8c8791387.webp
Samsung Galaxy Book5 Pro 14 Gray NP944XHA-KG,"$1,649.99",Samsung,4.5,66.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db46e64370f2993694b6f8fa4f2ad3e34d9.webp
"Asus VivoBook Go 15.6"" Intel i3-N305 Laptop",$219.00,Walmart,,,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db455b8954e51823a772aa4b804b04b3e27.webp
"HP 14"" Touchscreen Laptop",$299.99,HSN,4.1,91.0,,https://serpapi.com/searches/67f15a89bb558dfa826406d7/images/817d9190a66a6839bc2eee8e0f847db4dde4b2199ad74ee6be1008386f59c4bc.webp
